variant,T_reading,T_multiplication,T_writing,T_total,speedup
1_M1000_T1_B1.json,0.0146999,6.88981,0.369573,7.27409,1.0
1_M100_T1_B1.json,0.000100578,0.00633428,0.00369583,0.0101311,1.0
4a_M100_T1_B1.json,0.000156255,0.00594286,0.00399349,0.0100937,1.0037052815122305
4a_M1000_T1_B1.json,0.0404063,0.89061,0.526445,1.45746,4.990936286416094
